№п/п	question
1	Скільки блоків АКБ можна підключити на одну систему керування акумулятором Sofar BTS 5K - BDU?	1
2	Яку потужність може видати система Huawei на 108 кВт/215 кВт*год на виході через інвертор при відсутності мережі?	1
3	Які моделі лічильників інтегровані в SUNGROW Logger1000?	1
4	Система накопления энергии Huawei LUNA2000-215-2S10 (215 кВт·ч) працює з інверторами huawei та іншими?	1
5	Скільки максимум можна в паралельпідключити Dyness DL5.0C ?	1
6	Яку максимальну потужність по інверторам Victron MultiPlus 2 можна підключити в паралель?	1
7	До якої ємності можна масштабувати акумулятор Sofar BTS5K?	1
8	Яка максимальна пропускна здатність від мережі інвертора Victron MultiPlus 2 5000?	1
9	Яка максимальна кількість інверторів LuxPower SNA 5000 може підключатись в паралель?	1
10	Чи працює інвертор LuxPower SNA 5000 із трансформаторами струму?	1
11	Який максимальний розрядний струм для інвертора LuxPower SNA 6000?	1
12	Який код мережі треба вибирати для України на інверторі Huawei?	1
13	Скільки максимум можна в однин парк поставити Dyness DL5.0C ?	1
14	Яка номінальна напруга АКБ Sungrow SBR064?	1
15	Який рекомендований розрядний/зарядний струм для АКБ Pylontech US5000?	1
16	Яка рекомендована максимальна вхідна потужність ФЕМ на інверторі Sungrow SH5.0RT?	1
17	Яка частота мережі має бути на лічильнику DTSD1352-C/1 (6)A?	1
18	Скільки виходів AC має інвертор Victron Quattro48/5000/70-100/100?	1
19	Чи є в інвертора LuxPower SNA 5000 окремий генераторний вхід?	1
20	Скільки максимально можна підключити контролерів Victron через VE.CAN?	1
21	Скільки MPPT трекерів у Huawei SUN 2000 -50KTL-M3 ?	1
22	Який діапазон напруг АКБ в інвертора DEYE SUN 20K SG01HP3?	1
23	Скільки входів АКБ в інвертора DEYE SUN 20K SG01HP3?	1
24	Який протокол АКБ використовується при підключенні акумулятора Dyness до LuxPower ?	1
25	Який протокол АКБ використовується при підключенні акумулятора PylonTEch до LuxPower ?	1
26	Яка мінімальна необхідна кількість АКБ DEYE BOSg PRO необхідна для запуску системи ?	1
27	На які піни підключається інформаційний зв'язок від АКБ до інвертор SOFAR HYD?	1
28	На які піни підключається інформаційний зв'язок від лічильника до інвертор SOFAR HYD?	1
29	Яка максимальна допустима напруга PV на MPPT трекер у інвертора Sofar HYD?	1
30	Яка максмимальна кількість інверторів Sofar HYD допустима в паралель?	1
31	Скільки входів АКБ є в інверторів Sofar HYD ?	1
32	Який протокол в налаштуваннях треба вибирати при підключенні АКБ Dyness A48100 до інвертора LuxPower SNA 5000?	1
33	Скільки входів для MPPT має інвертор Sofar SOFAR17KTLX-G3?	1
34	Яка максимальна вхідна напруга інвертора Sofar SOFAR17KTLX-G3?	1
35	Яка номінальна напруга Dyness DL5.0C?	1
36	Скільки MPPT трекерів можна підключити до Huawei SUN2000-33KTL-A?	1
37	Скільки MPPT трекерів та входів у інвертора Fronius Verto?	1
38	Яка максимальна напруга PV у інвертора Fronius Verto?	1
39	Куди виконується підключення лічильника у інвертора Fronius Verto?	1
40	В який порт підключається інформаційний кабель від АКБ до інвертора LuxPower ?	1
41	Який максимальний зарядний струм у Victron Quattro 15000?	1
42	Скільки максимально АКБ DEYE BOSG можна підключити в одну стійку?	1
43	Скільки інверторів Solis RHI 10K можна підключити в паралель?	1
44	Який параметр відповідає за оюмеження видачі в мкережу на гібридному інверторі Sungrow ?	1
45	Скільки максимально контролерів заряду Victron можна підключити по VE.CAN ?	1
46	Скільки інверторів Victron Multi plus 2 можна підключити в паралель?	1
47	Скільки максимум блоків АКБ SBR можна підключити до інвертора Sungrow SH6.0RS?	1
48	Який рекомендований струм заряду/розряду для Deye BOS-G?	1
49	Яка кількість MPPT трекерів у FRONIUS SymO GEN24 PlUS 6.0?	1
50	Яка максимальна вхідна напруга інвертора Solis S6-GR1P2.5K?	1
51	Який протокол зв'язку лічильника Huawei DTSU666 HW?	1
52	Який клас захисту IP на інверторі Deye SUN-5K-SG01HP3-EU-AM2?	1
53	Який діапазон постійної вхідної напруги на інверторі Victron MultiPlus-II 48/3000/35-32 и 48/5000/70-50?	1
54	Який максимальний струм короткого замикання на інверторі SOFAR10KTLX-G3-A?	1
55	Чи варто перевищувати вказану у технічному паспорті встановлену потужність фотомодулів на інверторах Fronius?	1
56	Який рекомендований розрядний/зарядний струм для Pylontech H48050?	1
57	Яка робоча напруга Dyness B4850?	1
